Local time,Open,High,Low,Close,Volume
04.06.2003 13:00:00.000 GMT+0800,1.31066,1.31330,1.30773,1.30907,30497.2002
04.06.2003 17:00:00.000 GMT+0800,1.30923,1.31452,1.30844,1.31270,31198.499499999998
04.06.2003 21:00:00.000 GMT+0800,1.31271,1.31489,1.30847,1.31229,88677.2031
05.06.2003 01:00:00.000 GMT+0800,1.31225,1.31702,1.31138,1.31690,112613.49900000001
05.06.2003 05:00:00.000 GMT+0800,1.31736,1.31984,1.31581,1.31836,30461.7998
05.06.2003 09:00:00.000 GMT+0800,1.31834,1.32048,1.31667,1.31777,31452.6006
05.06.2003 13:00:00.000 GMT+0800,1.31757,1.31901,1.31461,1.31547,30003.2002
05.06.2003 17:00:00.000 GMT+0800,1.31568,1.32178,1.31374,1.31514,31633.100100000003
05.06.2003 21:00:00.000 GMT+0800,1.31482,1.31527,1.29508,1.29739,86998.29879999999
06.06.2003 01:00:00.000 GMT+0800,1.29705,1.30156,1.29576,1.30070,113284.8008
06.06.2003 05:00:00.000 GMT+0800,1.30075,1.30246,1.29923,1.30188,31111.8999
06.06.2003 09:00:00.000 GMT+0800,1.30204,1.30268,1.29986,1.30157,30670.3003
06.06.2003 13:00:00.000 GMT+0800,1.30143,1.30529,1.29913,1.30428,31347.100599999998
06.06.2003 17:00:00.000 GMT+0800,1.30415,1.30714,1.30027,1.30649,31724.0996
06.06.2003 21:00:00.000 GMT+0800,1.30750,1.32487,1.30633,1.32377,87023.3994
07.06.2003 01:00:00.000 GMT+0800,1.32381,1.32381,1.31707,1.31973,115890.89740000002
07.06.2003 05:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
07.06.2003 09:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
07.06.2003 13:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
07.06.2003 17:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
07.06.2003 21:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
08.06.2003 01:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
08.06.2003 05:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
08.06.2003 09:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
08.06.2003 13:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
08.06.2003 17:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
08.06.2003 21:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
09.06.2003 01:00:00.000 GMT+0800,1.31973,1.31973,1.31973,1.31973,0
09.06.2003 05:00:00.000 GMT+0800,1.32038,1.32038,1.31823,1.31977,32542.0005
09.06.2003 09:00:00.000 GMT+0800,1.31976,1.32590,1.31830,1.31899,31942.8003
09.06.2003 13:00:00.000 GMT+0800,1.31907,1.32426,1.31857,1.32321,30364.2002
09.06.2003 17:00:00.000 GMT+0800,1.32336,1.32336,1.31501,1.31840,31670
09.06.2003 21:00:00.000 GMT+0800,1.31766,1.31813,1.30546,1.31228,89907.1016
10.06.2003 01:00:00.000 GMT+0800,1.31287,1.31607,1.31008,1.31607,114181.6992
10.06.2003 05:00:00.000 GMT+0800,1.31605,1.31691,1.31446,1.31653,30809.5
10.06.2003 09:00:00.000 GMT+0800,1.31651,1.31683,1.31330,1.31511,30763.5
10.06.2003 13:00:00.000 GMT+0800,1.31505,1.31797,1.31308,1.31699,31489.4995
10.06.2003 17:00:00.000 GMT+0800,1.31735,1.31880,1.31417,1.31728,32018.499499999998
10.06.2003 21:00:00.000 GMT+0800,1.31724,1.32049,1.31377,1.31877,90397.1016
11.06.2003 01:00:00.000 GMT+0800,1.31824,1.31955,1.31140,1.31613,111279.8008
11.06.2003 05:00:00.000 GMT+0800,1.31640,1.31772,1.31567,1.31675,32136.2002
11.06.2003 09:00:00.000 GMT+0800,1.31665,1.31728,1.31270,1.31365,31912.999499999998
11.06.2003 13:00:00.000 GMT+0800,1.31335,1.31664,1.30946,1.31405,30819.0005
11.06.2003 17:00:00.000 GMT+0800,1.31379,1.31476,1.30675,1.30810,30091.300300000003
11.06.2003 21:00:00.000 GMT+0800,1.30835,1.30923,1.30406,1.30561,88171.8018
12.06.2003 01:00:00.000 GMT+0800,1.30558,1.30966,1.30488,1.30959,113875.4014
12.06.2003 05:00:00.000 GMT+0800,1.30982,1.30987,1.30661,1.30835,30057.7993
12.06.2003 09:00:00.000 GMT+0800,1.30838,1.30953,1.30678,1.30777,31928.399400000002
12.06.2003 13:00:00.000 GMT+0800,1.30738,1.30892,1.30226,1.30226,31486.6001
12.06.2003 17:00:00.000 GMT+0800,1.30229,1.30988,1.30102,1.30910,31885.5
12.06.2003 21:00:00.000 GMT+0800,1.30931,1.31586,1.30859,1.31004,87864.80129999999
13.06.2003 01:00:00.000 GMT+0800,1.30936,1.31183,1.30903,1.31120,112386.5996
